항목명1,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        잼,,,,,,,,,,,,,,,,,,,,,83.765,89.594,94.906,99.778,99.199,100,100.37,103.38,104.96,104.54
        꿀,54.51,57.332,60.557,63.081,63.59,63.638,63.633,63.267,64.014,63.315,62.615,63.152,64.393,66.095,70.603,92.2,86.737,85.031,88.519,90.425,90.932,98.184,99.208,100.734,99.782,100,102.25,112.56,115.03,118.01
        물엿,,,,,,34.073,37.469,39.542,49.748,47.991,44.992,44.152,45.749,45.716,48.299,49.71,50.074,53.408,65.606,73.558,74.088,86.737,95.995,98.803,101.151,100,100.22,101.53,99.46,100.16
        고춧가루,19.239,26.787,35.725,35.524,33.832,41.609,41.342,33.128,37.875,45.575,43.609,47.323,45.626,48.581,57.546,55.393,56.307,60.188,58.638,63.631,67.08,101.042,139.755,110.881,94.622,100,96.04,103.52,137.64,135.06
        참깨,37.166,37.342,37.131,39.196,47.316,45.964,46.466,50.143,53.564,55.038,56.704,55.523,54.687,61.189,75.634,71.145,72.758,73.191,79.973,91.279,91.291,94.729,97.262,98.473,98.284,100,99.71,100.26,104.17,107.39
        생강,21.972,27.261,27.097,38.425,50.879,40.982,35.723,64.908,48.321,27.081,36.217,78.675,46.944,36.927,53.471,60.657,43.023,47.177,42.264,73.354,78.585,64.099,73.641,82.832,84.096,100,76.17,58.44,97.01,156.79
        소금,20.56,24.753,26.785,30.306,32.93,33.316,33.729,36.603,42.775,44.703,43.904,43.801,43.743,44.236,51.312,51.947,52.081,52.319,55.11,60.421,61.336,78.881,98.159,97.709,98.413,100,99.98,99.98,99.59,100.27
        간장,12.374,12.91,14.653,16.149,17.344,18.96,20.174,24.254,30.846,31.097,30.514,36.853,37.11,41.392,45.293,45.825,45.767,51.717,64.456,68.745,70.855,81.441,92.358,98.044,100.077,100,100.62,105.92,108.37,109.18
        된장,20.591,23.106,25.204,26.286,28.273,33.03,40.102,42.021,45.247,41.773,41.576,44.042,44.489,49.072,54.518,56.44,56.619,58.274,68.29,77.582,79.063,87.443,92.971,97.714,99.159,100,100.91,98.5,100.18,99.9
        양념소스,,,,,,,,,,,49.687,49.795,57.186,59.278,62.926,64.752,68.639,67.829,71.213,82.801,83.571,90.515,97.702,96.298,100.339,100,99.68,98.02,97.65,96.79
        고추장,17.618,18.75,20.36,23.023,25.737,28.921,33.059,35.65,38.147,36.462,36.726,39.064,39.269,43.674,47.616,48.28,48.352,52.29,56.53,61.727,66.102,79.927,92.762,97.128,99.272,100,99.65,100.34,101.19,106.77
        카레,27.456,28.715,30.127,31.559,32.827,34.569,37.284,40.655,48.508,49.252,49.017,48.935,52.104,54.232,54.375,55.485,55.864,61.234,68.11,77.812,85.859,97.901,103.591,102.876,101.834,100,102.35,103.25,106.27,106.14
        식초,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.2,106.08,109.92,115.13
        드레싱,42.809,42.906,43.004,42.982,42.627,43.597,48.628,48.569,60.3,58.967,52.959,51.732,51.415,54.777,61.449,63.696,64.859,69.583,79.285,86.699,86.365,98.24,99.775,100.43,101.414,100,101.89,103.68,104.63,104.87
